revenue,potential_revenue,pl_inventory_percentage
88.12,162.05,-83.9
713.65,977.55,-36.98
714.19,885.45,-23.98
501.07,791.33,-57.93
85.21,129.2,-51.63
466.79,679.73,-45.62
154.98,221.65,-43.02
318.11,454.07,-42.74
500.47,874.55,-74.75
284.34,386.78,-36.03
156.9,215.11,-37.1
406.99,541.35,-33.01
134.72,175.7,-30.42
193.64,239.74,-23.81
313.09,425.73,-35.98
638.16,867.09,-35.87
566.71,752.26,-32.74
218.66,354.5,-62.12
366.25,532.35,-45.35
258.74,370.6,-43.23
547.22,804.26,-46.97
533.57,751.79,-40.9
619.98,849.77,-37.06
275.48,431.95,-56.8
499.9,705.08,-41.04
247.24,339.31,-37.24
450.3,626.96,-39.23
650.9,896.42,-37.72
78.92,112.66,-42.75
351.29,449.23,-27.88
363.96,495.3,-36.09
100.16,125.93,-25.73
390.47,574.83,-47.21
761.8,1031.51,-35.4
239.64,400.77,-67.24
417.65,623.16,-49.21
178.25,237.01,-32.96
22.29,29.24,-31.18
450.82,609.74,-35.25
269.67,396.8,-47.14
209.13,325.62,-55.7
134.1,213.17,-58.96
800.97,1129.86,-41.06
439.89,620.84,-41.14
29.24,85.22,-191.45
632.37,876.06,-38.54
196.26,268.42,-36.77
194.23,386.04,-98.75
712.6,988.86,-38.77
466.88,658.69,-41.08
96.73,169.53,-75.26
386.44,545.52,-41.17
324.84,500.28,-54.01
0.0,0.0,0.0
365.56,560.57,-53.35
537.82,741.52,-37.88
428.35,543.05,-26.78
648.84,1011.8,-55.94
177.53,217.41,-22.46
635.25,841.06,-32.4
94.09,115.58,-22.84
347.53,497.97,-43.29
121.59,170.5,-40.23
850.53,1075.06,-26.4
699.26,1017.08,-45.45
457.67,660.55,-44.33
543.84,705.14,-29.66
317.79,404.55,-27.3
428.63,606.5,-41.5
541.25,860.37,-58.96
610.08,972.98,-59.48
586.4,749.77,-27.86
253.64,369.43,-45.65
88.27,133.22,-50.92
24.79,69.68,-181.08
667.04,995.54,-49.25
233.56,417.05,-78.56
589.43,796.54,-35.14
711.12,1053.52,-48.15
0.0,0.0,0.0
604.2,819.89,-35.7
15.94,17.89,-12.23
61.03,101.02,-65.53
