,num_hidden_layers,neurons_per_layer,dropout_rate,optimizer,activation_function,fitness_scores
3,6.0,85.0,0.17298116180354806,adamax,tanh,0.373126913409051
4,2.0,75.0,0.1869519485002175,adamax,tanh,0.37549397970450604
5,1.0,39.0,0.2589180623217192,adamax,tanh,0.4135704295704296
6,2.0,100.0,0.11309953817463135,adamax,tanh,0.3877832604272233
7,2.0,69.0,0.19975421731532286,adamax,tanh,0.36293165314217946
8,3.0,85.0,0.12316073143079966,adamax,tanh,0.37923142134783006
9,5.0,75.0,0.17298116180354806,adamax,tanh,0.3637505253604325
10,3.0,82.0,0.23204372201091866,adamax,tanh,0.37513498678364016
11,3.0,82.0,0.34089661776708285,adamax,tanh,0.35298174419584283
12,2.0,85.0,0.014485933029906415,adamax,tanh,0.36942005363058
13,3.0,44.0,0.1869519485002175,adamax,tanh,0.41310293125677744
14,3.0,101.0,0.3398756843981485,adamax,tanh,0.3929886653792346
15,3.0,95.0,0.3398756843981485,adamax,tanh,0.3713068253384043
16,3.0,97.0,0.3398756843981485,adamax,tanh,0.387315624726151
17,3.0,54.0,0.11309953817463135,adamax,tanh,0.377474025974026
18,2.0,100.0,0.1869519485002175,adamax,tanh,0.36421182188984047
19,3.0,87.0,0.19975421731532286,adamax,tanh,0.3384502913667001
20,2.0,89.0,0.19975421731532286,adamax,tanh,0.3887446641369004
21,2.0,85.0,0.014485933029906415,adamax,tanh,0.3858529540634804
22,2.0,89.0,0.2084752465079731,adamax,tanh,0.3628380296716329
23,4.0,110.0,0.1869519485002175,adamax,tanh,0.3881214009513916
0,2.0,93.0,0.3573950720429822,nadam,tanh,0.39530565089431485
1,2.0,93.0,0.19975421731532286,nadam,tanh,0.3464166272324167
2,2.0,70.0,0.15968542357927834,nadam,tanh,0.3602497448570323
3,6.0,85.0,0.17298116180354806,nadam,tanh,0.37797275577793094
4,2.0,75.0,0.1869519485002175,nadam,tanh,0.3674023924057576
5,1.0,39.0,0.2589180623217192,nadam,tanh,0.37155321458727036
6,2.0,100.0,0.11309953817463135,nadam,tanh,0.3469056694640219
7,2.0,69.0,0.19975421731532286,nadam,tanh,0.3925692599797863
8,3.0,85.0,0.12316073143079966,nadam,tanh,0.4030157530014639
9,5.0,75.0,0.17298116180354806,nadam,tanh,0.40069732744036146
10,3.0,82.0,0.23204372201091866,nadam,tanh,0.3640036922142186
11,3.0,82.0,0.34089661776708285,nadam,tanh,0.379535869187572
12,2.0,85.0,0.014485933029906415,nadam,tanh,0.3805192351508141
13,3.0,44.0,0.1869519485002175,nadam,tanh,0.3439430282405111
14,3.0,101.0,0.3398756843981485,nadam,tanh,0.380330728095434
