,inventory,item_url
188,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chapatti/products/methi-roti-400g
189,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chapatti/products/mc-plain-naan-4pcs
190,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chapatti/products/master-wholemeal-roti-500g
191,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chapatti/products/master-multigrain-roti-400g
192,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chapatti/products/garlic-roti-400gr
193,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chapatti/products/swaadh-roti-high-fibre-10pk
194,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/chilli-sauce/products/chings-red-chilli-sauce-200g
195,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/chilli-sauce/products/chings-green-chilli-sauce-190g
196,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chilli-sauce/products/mitchells-green-chilli-sauce
197,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/chilli-sauce/products/mitchells-chilli-garlic-sauce
198,"
Inventory policy :

                
                5
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chilli-sauce/products/masala-chilli-pattu-500g
199,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chilli-sauce/products/hot-sweet-sauce-500g-pattu
200,"
Inventory policy :

                
                20
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate/products/kinder-chocolate-snack-bar-21g
201,"
Inventory policy :

                
                15
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate/products/curly-wurly-cadbury-26g
202,"
Inventory policy :

                
                10
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate/products/strawberry-bubble-gum-hubba-bubba-35g
203,"
Inventory policy :

                
                10
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate/products/grape-bubble-gum-hubba-bubba-35g
204,"
Inventory policy :

                
                7
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate/products/grape-bubble-tape-hubba-bubba-180cm
205,"
Inventory policy :

                
                7
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate/products/strawberry-bubble-tape-hubba-bubba-180cm
206,"
Inventory policy :

                
                10
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate/products/crispy-m-m-s-145g
207,"
Inventory policy :

                
                15
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate/products/caramel-chomp-30g
208,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chocolate/products/picnic-chcolate-king-size
209,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate-block/products/cadbury-dairy-milk-fruit-nut-150g
210,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chocolate-block/products/cadbury-dairy-milk-snack-148g
211,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chocolate-block/products/cadbury-dairy-milk-top-deck-180g
212,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chocolate-block/products/cadbury-dairy-milk-snack-180g
213,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chutney/products/samosa-chutney-sabrini-360g
214,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/chutney/products/salsa-dip-la-costena-453g
