revenue,potential_revenue,pl_inventory_percentage
413.88,413.88,0.0
558.41,558.41,0.0
931.57,931.57,0.0
167.35,167.35,0.0
61.42,61.42,0.0
189.62,189.62,0.0
0.0,0.0,0.0
503.76,503.76,0.0
435.38,435.38,0.0
857.17,857.17,0.0
128.09,128.09,0.0
191.01,191.01,0.0
800.1,800.1,0.0
866.08,866.08,0.0
799.55,799.55,0.0
866.75,866.75,0.0
0.0,0.0,0.0
135.09,135.09,0.0
653.54,653.54,0.0
330.5,330.5,0.0
0.0,0.0,0.0
467.0,467.0,0.0
477.14,477.14,0.0
576.8,576.8,0.0
184.17,184.17,0.0
560.64,560.64,0.0
704.91,704.91,0.0
829.09,829.09,0.0
831.34,831.34,0.0
868.16,868.16,0.0
312.13,312.13,0.0
172.16,172.16,0.0
900.05,900.05,0.0
477.78,477.78,0.0
569.09,569.09,0.0
514.46,514.46,0.0
1320.64,1320.64,0.0
0.0,0.0,0.0
1524.64,1524.64,0.0
731.65,731.65,0.0
731.24,731.24,0.0
723.91,723.91,0.0
273.05,273.05,0.0
711.52,711.52,0.0
497.23,497.23,0.0
874.72,874.72,0.0
103.62,103.62,0.0
1144.08,1144.08,0.0
212.36,212.36,0.0
966.63,966.63,0.0
668.25,668.25,0.0
822.59,822.59,0.0
478.41,478.41,0.0
376.69,376.69,0.0
1059.12,1059.12,0.0
709.87,709.87,0.0
358.62,358.62,0.0
517.98,517.98,0.0
960.84,960.84,0.0
268.62,268.62,0.0
267.52,267.52,0.0
458.75,458.75,0.0
360.02,360.02,0.0
518.92,518.92,0.0
99.05,99.05,0.0
291.21,291.21,0.0
149.75,149.75,0.0
317.92,317.92,0.0
1214.38,1214.38,0.0
0.0,0.0,0.0
1075.7,1075.7,0.0
897.67,897.67,0.0
50.71,50.71,0.0
1194.67,1194.67,0.0
169.24,169.24,0.0
690.0,690.0,0.0
0.0,0.0,0.0
975.85,975.85,0.0
826.22,826.22,0.0
39.32,39.32,0.0
1156.79,1156.79,0.0
1013.44,1013.44,0.0
186.97,186.97,0.0
709.29,709.29,0.0
1100.86,1100.86,0.0
233.75,233.75,0.0
263.23,263.23,0.0
382.67,382.67,0.0
613.95,613.95,0.0
1245.35,1245.35,0.0
704.36,704.36,0.0
434.57,434.57,0.0
626.99,626.99,0.0
830.84,830.84,0.0
782.68,782.68,0.0
158.62,158.62,0.0
834.66,834.66,0.0
1081.82,1081.82,0.0
607.2,607.2,0.0
1083.87,1083.87,0.0
776.55,776.55,0.0
691.18,691.18,0.0
794.46,794.46,0.0
161.91,161.91,0.0
274.59,274.59,0.0
88.86,88.86,0.0
424.86,424.86,0.0
608.76,608.76,0.0
289.66,289.66,0.0
985.7,985.7,0.0
1236.31,1236.31,0.0
816.51,816.51,0.0
341.79,341.79,0.0
246.4,246.4,0.0
939.58,939.58,0.0
302.19,302.19,0.0
1040.37,1040.37,0.0
499.75,499.75,0.0
898.09,898.09,0.0
846.53,846.53,0.0
954.32,954.32,0.0
842.21,842.21,0.0
664.98,664.98,0.0
970.32,970.32,0.0
461.55,461.55,0.0
436.56,436.56,0.0
462.47,462.47,0.0
88.52,88.52,0.0
786.56,786.56,0.0
219.5,219.5,0.0
1180.93,1180.93,0.0
323.91,323.91,0.0
1028.11,1028.11,0.0
492.0,492.0,0.0
628.94,628.94,0.0
785.5,785.5,0.0
1075.1,1075.1,0.0
276.2,276.2,0.0
415.74,415.74,0.0
1250.33,1250.33,0.0
521.57,521.57,0.0
305.05,305.05,0.0
90.37,90.37,0.0
750.47,750.47,0.0
369.84,369.84,0.0
7.74,7.74,0.0
156.86,156.86,0.0
937.35,937.35,0.0
61.02,61.02,0.0
312.01,312.01,0.0
1072.64,1072.64,0.0
284.51,284.51,0.0
646.33,646.33,0.0
1147.9,1147.9,0.0
932.0,932.0,0.0
664.91,664.91,0.0
839.94,839.94,0.0
1065.16,1065.16,0.0
911.28,911.28,0.0
880.44,880.44,0.0
246.93,246.93,0.0
